ID,Species,FunctionalGroup,CommonName,Bodymass (g),Bodysize (cm),Biomass (g WW/m2),Diet preference,Reference_Bodymass,Reference_Bodymass_Link,Reference_Bodysize,Reference_Bodysize_Link,Reference_Biomass,Reference_Biomass_Link,Observation
2,Adenocystis utricularis,basal taxa,brown macroalgae,,10.000000,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
11,Ballia sp.,basal taxa,red macroalgae,,10-15,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
17,Blidingia minima,basal taxa,green macroalgae,,8.000000,,,,,Boraso_1975,http://www.jstor.org/stable/23215542,,,
18,Bostrychia sp.,basal taxa,red macroalgae,,2-3,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
21,Callophyllis pinnata,basal taxa,red macroalgae,,10-40,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,Taken from Callophyllis variegata & C. atrosanguinea
25,Ceramium diaphanum,basal taxa,red macroalgae,,6-7,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
26,Ceramium sp.,basal taxa,red macroalgae,,6-30,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,Taken from Ceramium virgatum & C. diaphanum
31,Cladophora sp.,basal taxa,green macroalgae,,20.000000,,,,,Boraso_etal_2003,https://www.fundacionazara.org.ar/img/libros/algas-marinas-de-la-patagonia.pdf,,,Taken from Cladophora falklandica
32,Codium sp.,basal taxa,green macroalgae,,10.000000,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,"Taken from Codium dimorphum, C. fragile & C. subantarcticum"
41,Delesseriaceae,basal taxa,red macroalgae,,10-30,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
42,Derbesia sp.,basal taxa,green macroalgae,,40.000000,,,,,AlgaeBase,https://www.algaebase.org/search/genus/detail/?genus_id=43057,,,
43,Desmarestia sp.,basal taxa,brown macroalgae,,20-200,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
44,Diatomea,basal taxa,diatom,,See Weddell Sea data,,,,,,,,,
47,Ectocarpus sp.,basal taxa,brown macroalgae,,30.000000,,,,,Campbell_2009,https://www.asturnatura.com/especie/ectocarpus-siliculosus,,,
63,Griffithsia sp.,basal taxa,red macroalgae,,10.000000,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,Taken from Griffithsia antarctica
65,Halopteris sp.,basal taxa,brown macroalgae,,10.000000,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,Taken from Halopteris obovata
68,Hincksia sp.,basal taxa,brown macroalgae,,10.000000,,,,,Boraso_etal_2003,https://www.fundacionazara.org.ar/img/libros/algas-marinas-de-la-patagonia.pdf,,,Taken from Hincksia granulosa
71,Hymenena sp.,basal taxa,red macroalgae,,30.000000,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,Taken from Hymenena laciniata
77,Macroalgae,basal taxa,macroalgae,,2-40,,,,,Several,NA,,,Average of macro algae species
78,Macrocystis pyrifera,basal taxa,brown macroalgae,10090.000000,6000.000000,,,Kaminsky_ComPers,NA,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
83,Monostroma sp.,basal taxa,green macroalgae,,10.000000,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,Taken from Monostroma grevillei
85,Myriogramme sp.,basal taxa,red macroalgae,,20.000000,,,,,Boraso_etal_2003,https://www.fundacionazara.org.ar/img/libros/algas-marinas-de-la-patagonia.pdf,,,Taken from Myriogramme crozieri
94,Nothogenia fastigiata,basal taxa,red macroalgae,,5-6,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
114,Phytoplankton,basal taxa,phytoplankton,,See Weddell Sea data,23.840000,,,,,,Almandoz_etal_2011,https://doi.org/10.1016/j.seares.2011.03.005,Biomass in ug C / L
119,Polysiphonia sp.,basal taxa,red macroalgae,,10-15,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,Taken from Polysiphonia anisogona & P. morrowii
121,Porphyra sp.,basal taxa,red macroalgae,,5-15,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
125,Rhizoclonium sp.,basal taxa,green macroalgae,,,,,,,,,,,
128,Scytothamnus fasciculatus,basal taxa,brown macroalgae,,10-15,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
131,Sphacelaria sp.,basal taxa,brown macroalgae,,20.000000,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,Taken from Cladostephus kuetzingii
138,Trailliella sp.,basal taxa,red macroalgae,,10.000000,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,Taken from Ptilonia magellanica
140,Ulothrix sp.,basal taxa,green macroalgae,,10.000000,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,
141,Ulva rigida,basal taxa,green macroalgae,,10.000000,,,,,Coimbra,http://macoi.ci.uc.pt/spec_list_detail.php?spec_id=172&searchSpecies=ulva+rigida+c.+agardh&order=csdwn,,,
142,Ulva sp.,basal taxa,green macroalgae,,50-100,,,,,Jofre_etal_2021,https://www.researchgate.net/publication/356474056_Guia_de_Macroalgas_Subantarticas_Region_de_Magallanes_y_Antartica_Chilena_Subantartic_Macroalgae_Guide_Magallanes_and_Chilean_Antarctic_Region,,,"Taken from Ulva lactuca, U. clathrata,"
1,Acanthocyclus albatrossis,benthos,crab,1.800000,1.15-2.349,,,Ebensperger&Botto-Mahan_1997,https://doi.org/10.2307/1382655,Uzkiaga_etal_2022,https://doi.org/10.1016/j.jembe.2022.151730,,,
5,Anasterias antarctica,benthos,sea star,85.400000,9.600000,,,Laptikhovsky_etal_2014,https://doi.org/10.1007/s00300-014-1608-5,Laptikhovsky_etal_2014,https://doi.org/10.1007/s00300-014-1608-5,,,Maximum body mass and body size.
6,Arbacia dufresnii,benthos,sea urchin,8.130000,2.590000,,,Epherra_2010,http://rediberoamericanaequinodermos.com/wp-content/uploads/2015/09/Epherra+2010+ciclo+bioqui+Arbacia+dufresnii+Patagonia+UNPSJB+Lic.compressed.pdf,Epherra_2010,http://rediberoamericanaequinodermos.com/wp-content/uploads/2015/09/Epherra+2010+ciclo+bioqui+Arbacia+dufresnii+Patagonia+UNPSJB+Lic.compressed.pdf,,,Bodymass: 1.44-36.48 g Bodysize: 1.07-4.84 cm
7,Ascidiacea,benthos,ascidian,,,,,,,,,,,
8,Asterina fimbriata,benthos,sea star,Consultar Claudia Andrade. Esperando respuesta.,,,,,,,,,,
9,Aulacomya atra,benthos,mussel,Consultar Analia Perez. En Perez_etal_2013 dice que hay datos de wet weight,5.1-7.3,,,,,Perez_etal_2013,http://dx.doi.org/10.4067/S0718-19572013000300005 ,,,
16,Bivalvia,benthos,bivalve,,,0.161350,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
19,Bryozoa,benthos,bryozoan,,,0.014615,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
20,Calliostoma nudum,benthos,sea snail,,,,,,,,,,,
22,Campylonotus vagans,benthos,shrimp,,,,,,,,,,,
24,Cephalopoda,benthos,molusc,,,,,,,,,,,
28,Chthamalus sp.,benthos,barnacle,,,,,,,,,,,
29,Cirratulidae,benthos,polychaete,,,,,,,,,,,
30,Cirripedia,benthos,barnacle,,,0.029730,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
35,Cosmasterias lurida,benthos,sea star,Mail to Paula Cossi (paulacossi@qb.fcen.uba.ar) asking for weight of C. lurida. https://doi.org/10.1007/s00300-015-1696-x,,,,,,,,,,
37,Crepipatella dilatata,benthos,sea snail,,,,,,,,,,,
38,Crustacea,benthos,crustacean,,,,,,,,,,,
40,Cumacea,benthos,shrimp,,,,,,,,,,,
46,Echiura,benthos,polychaete,,,0.000100,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
50,Eurhomalea exalbida,benthos,clam,,,,,,,,,,,
51,Eurypodius latreillii,benthos,crab,,,,,,,,,,,
52,Exosphaeroma gigas,benthos,isopod,4.000000,,,,Giarratano_etal_2007,https://doi.org/10.1016/j.ecoenv.2006.11.008,,,,,
53,Fissurella oriens,benthos,limpet,,,,,,,,,,,
54,Fissurella picta,benthos,limpet,,,,,,,,,,,
56,Gaimardia trapesina,benthos,clam,,,,,,,,,,,
59,Gastropoda,benthos,gastropod,,,0.010855,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
61,Glabraster antarctica,benthos,sea star,,,,,,,,,,,
62,Glyceridae,benthos,polychaete,,,,,,,,,,,
64,Halicarcinus planatus ,benthos,crab,,,,,,,,,,,
67,Hiatella arctica,benthos,clam,,,,,,,,,,,
69,Holothuroidea,benthos,sea cucumber,,,0.001785,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
70,Hydrozoa,benthos,hydrozoan,,,0.000345,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
73,Isopoda,benthos,isopod,,,0.000180,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
74,Laevilitorina caliginosa,benthos,sea snail,,,,,,,,,,,
75,Lithodes santolla,benthos,crab,6000.000000,18.000000,,,Lovrich_1997,http://www.scielo.cl/scielo.php?script=sci_abstract&pid=S0717-71781997002500004&lng=es&nrm=iso&tlng=es,Lovrich_1997,http://www.scielo.cl/scielo.php?script=sci_abstract&pid=S0717-71781997002500004&lng=es&nrm=iso&tlng=es,,,
76,Loxechinus albus,benthos,sea urchin,,,,,,,,,,,
80,Margarella violacea,benthos,sea snail,0.390000,,,,Valdivia_etal_2015; Schram_etal_2016,https://doi.org/10.1371/journal.pone.0138582; https://doi.org/10.1093/icesjms/fsv233,,,,,
81,Membranipora isabelleana,benthos,bryozoan,,,,,,,,,,,
86,Mytilus edulis chilensis,benthos,mussel,,,,,,,,,,,
88,Nacella deaurata,benthos,limpet,15.400000,,,,Preguntar Iari,,,,,,
89,Nacella magellanica,benthos,limpet,15.400000,,,,Preguntar Iari,,,,,,
90,Nacella mytilina,benthos,limpet,15.400000,,,,Preguntar Iari,,,,,,
92,Nemertea,benthos,nemertean,,,0.000255,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
93,Nereididae,benthos,polychaete,,,,,,,,,,,
95,Notobalanus flosculus,benthos,barnacle,,,,,,,,,,,
96,Notochthamalus scabrosus ,benthos,barnacle,,,,,,,,,,,
98,Oligochaeta,benthos,oligochaete,,,0.000030,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
99,Ophiuroidea,benthos,ophiuroid,,,0.002360,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
101,Pagurus comptus,benthos,crab,,,,,,,,,,,
102,Paralomis granulosa,benthos,crab,1500.000,11.500,,,Lovrich_1997,http://www.scielo.cl/scielo.php?script=sci_abstract&pid=S0717-71781997002500004&lng=es&nrm=iso&tlng=es,Lovrich_1997,http://www.scielo.cl/scielo.php?script=sci_abstract&pid=S0717-71781997002500004&lng=es&nrm=iso&tlng=es,,,
104,Pareuthria fuscata,benthos,sea snail,,,,,,,,,,,
112,Peltarion spinosulum,benthos,crab,,,,,,,,,,,
113,Perumytilus purpuratus,benthos,mussel,,,,,,,,,,,
115,Plaxiphora sp.,benthos,chiton,,,,,,,,,,,
116,Polychaeta,benthos,polychaete,,,0.011915,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
117,Polynoidae,benthos,polychaete,,,,,,,,,,,
118,Polyplacophora,benthos,chiton,,,0.002720,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
120,Porifera,benthos,sponge,,,0.031580,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
122,Priapulida,benthos,priapulid,,,0.000100,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
123,Pseudechinus magellanicus,benthos,sea urchin,,,,,,,,,,,
129,Serpulidae,benthos,polychaete,,,,,,,,,,,
130,Siphonaria lessonii,benthos,sea snail,,,,,,,,,,,
132,Spirorbinae,benthos,polychaete,,,,,,,,,,,
135,Tanaidacea,benthos,tanaids,,,0.000010,,,,,,Diez_etal_2009,http://www.analesdelinstitutodelapatagonia.cl/index.php/analespatagonia/article/view/266,
136,Terebellidae,benthos,polychaete,,,,,,,,,,,
137,Tonicia sp.,benthos,chiton,,,,,,,,,,,
139,Trophon geversianus,benthos,sea snail,Escribir Federico Marquez (fede@cenpat.edu.ar): https://doi.org/10.1016/j.seares.2014.05.002,,,,,,,,,,
143,Xymenopsis muriciformis ,benthos,sea snail,,,,,,,,,,,
145,Zygochlamys patagonica,benthos,clam,,,,,,,,,,,
10,Austrolycus depressiceps,fish,fish,4.507000,5.25-5.7,,,Vanella_etal_2007; Vanella_etal_2010,https://doi.org/10.1007/s00300-006-0202-x; https://doi.org/10.1016/j.cbpa.2010.02.006,Matallanas_etal_1990,https://digital.csic.es/handle/10261/28631,,,
12,Bathyraja albomaculata,fish,fish,1500-3750,59.0-76.2,,,Ruocco_etal_2006,https://doi.org/10.1016/j.icesjms.2005.08.007,Ruocco_etal_2006,https://doi.org/10.1016/j.icesjms.2005.08.007,,,
13,Bathyraja brachyurops,fish,fish,2854.86-14742.31,73-120,,,Froese_etal_2014,https://doi.org/10.1111/jai.12299,Arkhipkin_etal_2008,https://doi.org/10.1093/icesjms/fsn015,,,"Estimation from length-weight relationship:  W = 10^(log10(a) + b*log10(TL)). a=0.002, b=3.303"
14,Bathyraja griseocauda,fish,fish,10426.8-46971.9,100-162,,,Froese_etal_2014,https://doi.org/10.1111/jai.12299,Arkhipkin_etal_2008,https://doi.org/10.1093/icesjms/fsn015,,,"Estimation from length-weight relationship:  W = 10^(log10(a) + b*log10(TL)). a=0.006, b=3.12"
15,Bathyraja scaphiops,fish,fish,14439.730000,111.000000,,,Froese_etal_2014,https://doi.org/10.1111/jai.12299,FishBase,https://www.fishbase.se/summary/Bathyraja-scaphiops.html,,,"Estimation from length-weight relationship:  W = 10^(log10(a) + b*log10(TL)). a=0.006, b=3.12"
23,Careproctus pallidus,fish,fish,,,,,,,,,,,
27,Champsocephalus esox,fish,fish,,,,,,,,,,,
33,Congiopodus peruvianus,fish,fish,,,,,,,,,,,
36,Cottoperca gobio,fish,fish,2.440000,32.100000,,,Vanella_etal_2007,https://doi.org/10.1007/s00300-006-0202-x,Vanella_etal_2007,https://doi.org/10.1007/s00300-006-0202-x,,,
45,Dissostichus eleginoides,fish,fish,,,,,,,,,,,
48,Eleginops maclovinus,fish,fish,514.100000,,,,Licandeo_etal_2006,https://doi.org/10.1007/s10641-006-9054-z,,,,,
57,Galaxias maculatus,fish,fish,0.761000,,,,Chapman_etal_2006; Encina-Montoya_etal_2011,https://doi.org/10.1111/j.1600-0633.2006.00198.x; https://doi.org/10.1111/j.1365-2109.2010.02692.x,,,,,
60,Genypterus blacodes,fish,fish,3278.783000,,,,Cordo_2004; Paredes&Bravo_2005,https://www.researchgate.net/profile/Hector-Cordo/publication/331906862_ABADEJO_Genypterus_blacodes_Caracterizacion_biologica_y_estado_del_recurso/links/5c927c8d92851cf0ae8bc6e4/ABADEJO-Genypterus-blacodes-Caracterizacion-biologica-y-estado-del-recurso.pdf; https://doi.org/10.1080/00288330.2005.9517377,,,,,
66,Harpagifer bispinis,fish,fish,4.883000,,,,Vanella_etal_2010; Hüne&Vega_2016,https://doi.org/10.1016/j.cbpa.2010.02.006; https://doi.org/10.1007/s00300-016-1892-3,,,,,
