ID,Species,FunctionalGroup,CommonName,Bodymass (g),Bodysize (cm),Biomass (g WW/m2),Reference_Bodymass,Reference_Bodymass_Link,Reference_Bodysize,Reference_Bodysize_Link,Reference_Biomass,Reference_Biomass_Link,Observation
1,Acanthocyclus albatrossis,benthos,crab,,,,,,,,,,
2,Adenocystis utricularis,basal taxa,brown algae,,,,,,,,,,
3,Aged detritus,non-living,detritus (faeces),,,,,,,,,,
4,Amphipoda,zooplankton,amphipod,,,,,,,,,,
5,Anasterias antarctica,benthos,sea star,7.130,,,Laptikhovsky_etal_2014; Perez_etal_2015,https://doi.org/10.1007/s00300-014-1608-5; https://doi.org/10.1016/j.jembe.2014.11.009,,,,,
6,Arbacia dufresnii,benthos,sea urchin,9.067,,,Brogger_etal_2010,https://doi.org/10.1017/S0025315410000445,,,,,
7,Ascidiacea,benthos,ascidian,,,,,,,,,,
8,Asterina fimbriata,benthos,sea star,,,,,,,,,,
9,Aulacomya atra,benthos,mussel,,,,,,,,,,
10,Austrolycus depressiceps,fish,fish,4.507,,,Vanella_etal_2007; Vanella_etal_2010,https://doi.org/10.1007/s00300-006-0202-x; https://doi.org/10.1016/j.cbpa.2010.02.006,,,,,
11,Ballia sp.,basal taxa,red algae,,,,,,,,,,
12,Bathyraja albomaculata,fish,fish,,,,LWR estimation,,,,,,
13,Bathyraja brachyurops,fish,fish,,90.000,,LWR estimation,https://doi.org/10.1093/icesjms/fsn015,Arkhipkin_etal_2008,https://doi.org/10.1093/icesjms/fsn015,,,"Estimation from length-weight relationship (W=aL^b). L=90 cm, a=0.002,b=3.03"
14,Bathyraja griseocauda,fish,fish,,137.500,,LWR estimation,https://doi.org/10.1093/icesjms/fsn015,Arkhipkin_etal_2008,https://doi.org/10.1093/icesjms/fsn015,,,"Estimation from length-weight relationship (W=aL^b). L=mean(118,157) cm, a=0.006,b=3.12"
15,Bathyraja scaphiops,fish,fish,,,,LWR estimation,,,,,,
16,Bivalvia,benthos,bivalve,,,,,,,,,,
17,Blidingia minima,basal taxa,green algae,,,,,,,,,,
18,Bostrychia sp.,basal taxa,red algae,,,,,,,,,,
19,Bryozoa,benthos,bryozoan,,,,,,,,,,
20,Calliostoma nudum,benthos,sea snail,,,,,,,,,,
21,Callophyllis pinnata,basal taxa,red algae,,,,,,,,,,
22,Campylonotus vagans,benthos,shrimp,,,,,,,,,,
23,Careproctus pallidus,fish,fish,,,,,,,,,,
24,Cephalopoda,benthos,molusc,,,,,,,,,,
25,Ceramium diaphanum,basal taxa,red algae,,,,,,,,,,
26,Ceramium sp.,basal taxa,red algae,,,,,,,,,,
27,Champsocephalus esox,fish,fish,,,,,,,,,,
28,Chthamalus sp.,benthos,barnacle,,,,,,,,,,
29,Cirratulidae,benthos,polychaete,,,,,,,,,,
30,Cirripedia,benthos,barnacle,,,,,,,,,,
31,Cladophora sp.,basal taxa,green algae,,,,,,,,,,
32,Codium sp.,basal taxa,green algae,,,,,,,,,,
33,Congiopodus peruvianus,fish,fish,,,,,,,,,,
34,Copepoda,zooplankton,copepod,,,,,,,,,,
35,Cosmasterias lurida,benthos,sea star,Mail to Paula Cossi (paulacossi@qb.fcen.uba.ar) asking for weight of C. lurida. https://doi.org/10.1007/s00300-015-1696-x,,,,,,,,,
36,Cottoperca gobio,fish,fish,2.440,32.100,,Vanella_etal_2007,https://doi.org/10.1007/s00300-006-0202-x,Vanella_etal_2007,https://doi.org/10.1007/s00300-006-0202-x,,,
37,Crepipatella dilatata,benthos,sea snail,,,,,,,,,,
38,Crustacea,benthos,crustacean,,,,,,,,,,
39,Ctenophora,zooplankton,comb jellies,,,,,,,,,,
40,Cumacea,benthos,shrimp,,,,,,,,,,
41,Delesseriaceae ,basal taxa,red algae,,,,,,,,,,
42,Derbesia sp.,basal taxa,green algae,,,,,,,,,,
43,Desmarestia sp.,basal taxa,brown algae,,,,,,,,,,
44,Diatomea,basal taxa,diatom,,,,,,,,,,
45,Dissostichus eleginoides,fish,fish,,,,,,,,,,
46,Echiura,benthos,polychaete,,,,,,,,,,
47,Ectocarpus sp.,basal taxa,brown algae,,,,,,,,,,
48,Eleginops maclovinus,fish,fish,,,,,,,,,,
